case,run,sample,ns,pairs,contacts,compression_m,reserved_bytes
warm_1,0,232,96125,320,320,0.665352,628040
warm_1,0,233,96250,320,320,0.665585,628040
warm_1,0,234,96167,320,320,0.665814,628040
warm_1,0,235,96917,320,320,0.66604,628040
warm_1,0,236,96667,320,320,0.666262,628040
warm_1,0,237,96000,320,320,0.666479,628040
warm_1,0,238,96000,320,320,0.666691,628040
warm_1,0,239,96167,320,320,0.666898,628040
warm_1,0,240,96334,320,320,0.667099,628040
warm_1,0,241,95958,320,320,0.667296,628040
warm_1,0,242,96083,320,320,0.667489,628040
warm_1,0,243,96000,320,320,0.667677,628040
warm_1,0,244,96291,320,320,0.667861,628040
warm_1,0,245,96750,320,320,0.668041,628040
warm_1,0,246,95875,320,320,0.668219,628040
warm_1,0,247,96333,320,320,0.668394,628040
warm_1,0,248,96292,320,320,0.668567,628040
warm_1,0,249,97417,320,320,0.668738,628040
warm_1,0,250,96292,320,320,0.66891,628040
warm_1,0,251,96000,320,320,0.669081,628040
warm_1,0,252,95958,320,320,0.669251,628040
warm_1,0,253,96166,320,320,0.669423,628040
warm_1,0,254,96875,320,320,0.669596,628040
warm_1,0,255,96375,320,320,0.669769,628040
warm_1,0,256,96166,320,320,0.669945,628040
warm_1,0,257,95875,320,320,0.670122,628040
warm_1,0,258,96334,320,320,0.670301,628040
warm_1,0,259,96042,320,320,0.670483,628040
warm_1,0,260,96250,320,320,0.670666,628040
warm_1,0,261,96625,320,320,0.670852,628040
warm_1,0,262,96459,320,320,0.671039,628040
warm_1,0,263,96250,320,320,0.671227,628040
warm_1,0,264,96208,320,320,0.671418,628040
warm_1,0,265,96042,320,320,0.671611,628040
warm_1,0,266,97375,320,320,0.671803,628040
warm_1,0,267,96291,320,320,0.671997,628040
warm_1,0,268,96291,320,320,0.672191,628040
warm_1,0,269,95750,320,320,0.672383,628040
warm_1,0,270,96542,320,320,0.672575,628040
warm_1,0,271,95708,320,320,0.672765,628040
warm_1,0,272,95500,320,320,0.672954,628040
warm_1,0,273,95667,320,320,0.673141,628040
warm_1,0,274,93583,320,320,0.673325,628040
warm_1,0,275,93333,320,320,0.673506,628040
warm_1,0,276,92916,320,320,0.673684,628040
warm_1,0,277,93958,320,320,0.67386,628040
warm_1,0,278,92959,320,320,0.674031,628040
warm_1,0,279,93417,320,320,0.6742,628040
warm_1,0,280,93125,320,320,0.674366,628040
warm_1,0,281,93917,320,320,0.674529,628040
warm_1,0,282,93458,320,320,0.674689,628040
warm_1,0,283,94292,320,320,0.674847,628040
warm_1,0,284,93375,320,320,0.675001,628040
warm_1,0,285,92875,320,320,0.675153,628040
warm_1,0,286,93041,320,320,0.675303,628040
warm_1,0,287,93541,320,320,0.67545,628040
warm_1,0,288,94375,320,320,0.675597,628040
warm_1,0,289,93792,320,320,0.675743,628040
warm_1,0,290,93792,320,320,0.675888,628040
warm_1,0,291,93167,320,320,0.676032,628040
warm_1,0,292,92834,320,320,0.676176,628040
warm_1,0,293,95208,320,320,0.676321,628040
warm_1,0,294,92833,320,320,0.676466,628040
warm_1,0,295,94125,320,320,0.676611,628040
warm_1,0,296,93083,320,320,0.676757,628040
warm_1,0,297,92750,320,320,0.676905,628040
warm_1,0,298,93417,320,320,0.677053,628040
