sample,integrate_ns,proxies_ns,broadphase_ns,contacts_ns,solve_ns,pairs,contacts
418,5708,2458,2834,4291,356625,320,320
419,5625,2417,2833,4292,368708,320,320
420,5750,2458,2833,4292,360375,320,320
421,5708,2458,2792,4292,355041,320,320
422,5792,2417,2833,4083,358667,320,320
423,5750,2541,2834,4416,357625,320,320
424,5708,2417,2833,4250,356042,320,320
425,5750,2417,2958,4250,359750,320,320
426,5667,2458,2792,4166,355500,320,320
427,5750,2417,2833,4375,352375,320,320
428,5666,2459,2833,4167,354875,320,320
429,5791,2459,2833,4292,352375,320,320
430,5708,2458,2834,4416,356500,320,320
431,5750,2458,2792,4250,356042,320,320
432,5709,2458,2833,4375,364667,320,320
433,5875,2542,2833,4125,357458,320,320
434,5750,2417,2833,4334,357833,320,320
435,5708,2459,2916,4250,355000,320,320
436,5667,2417,2916,4125,354417,320,320
437,5708,2500,2792,4000,353458,320,320
438,5750,2458,2834,4291,357500,320,320
439,5708,2417,2875,4250,356583,320,320
440,5834,2500,2875,4375,356833,320,320
441,5750,2458,2834,4041,357667,320,320
442,5750,2458,2792,4375,357375,320,320
443,5708,2458,2792,4125,354417,320,320
444,5709,2458,2792,4083,354875,320,320
445,5750,2458,2834,4083,359333,320,320
446,5750,2417,2833,4417,358333,320,320
447,5750,2417,2791,4417,357375,320,320
448,5667,2458,2833,4250,357209,320,320
449,5709,2458,2833,4000,355917,320,320
450,5666,2459,2833,4292,356916,320,320
451,5708,2417,2833,4209,355125,320,320
452,5791,2417,2917,4250,356375,320,320
453,5709,2416,2834,4083,351875,320,320
454,5708,2417,2791,4334,354291,320,320
455,5667,2458,2792,4375,357458,320,320
456,5834,2458,2792,4291,363125,320,320
457,5750,2459,2833,4208,355792,320,320
458,5666,2459,2875,4083,353667,320,320
459,5709,2458,2833,4459,358208,320,320
460,5750,2458,2833,4334,356791,320,320
461,5750,2500,2833,4209,357458,320,320
462,5708,2459,2833,4042,359041,320,320
463,5750,2417,2833,4125,357084,320,320
464,5750,2458,2833,4084,356125,320,320
465,5791,2459,2833,4250,360875,320,320
466,5750,2458,2792,4125,355083,320,320
467,5750,2459,2791,4167,354542,320,320
468,5708,2417,2875,4375,356875,320,320
469,5750,2458,2833,4167,356042,320,320
470,5750,2542,2833,4375,354459,320,320
471,5833,2458,2792,4167,356416,320,320
472,5709,2416,2959,4041,352500,320,320
473,5792,2458,2833,4125,354375,320,320
474,5709,2416,2834,4458,355292,320,320
475,5750,2458,2833,4375,352959,320,320
476,5833,2458,2792,4250,356292,320,320
477,5584,2458,2833,4250,355417,320,320
478,5792,2416,2834,4333,353750,320,320
479,5708,2542,2833,4083,355000,320,320
480,5750,2417,2917,4291,357667,320,320
481,5792,2458,2833,4209,358333,320,320
482,5666,2417,2833,4334,356791,320,320
483,5708,2459,2833,4167,357375,320,320
484,5750,2417,2875,4333,354834,320,320
485,5709,2416,2834,4083,355958,320,320
486,5625,2458,2834,4333,356792,320,320
487,5750,2459,2791,4125,354459,320,320
488,5667,2417,2916,4042,357958,320,320
489,5792,2416,2834,4250,360416,320,320
490,5750,2417,2833,4334,354875,320,320
491,5791,2459,2875,4250,353708,320,320
492,5750,2458,2834,4250,355833,320,320
493,5708,2500,2917,3958,359250,320,320
494,5750,2417,2833,4083,354459,320,320
495,5875,2458,2833,4042,354833,320,320
496,5750,2417,2833,4084,360791,320,320
497,5709,2458,2833,4042,358375,320,320
498,5708,2417,2875,4416,355500,320,320
499,5708,2459,2833,4375,355917,320,320
500,5791,2459,2833,4125,356667,320,320
501,5791,2500,2834,4083,355708,320,320
502,5709,2458,2833,4334,358333,320,320
503,5666,2459,2833,4042,360750,320,320
504,5792,2458,2834,4375,360583,320,320
505,5833,2458,2834,4125,354333,320,320
506,5791,2459,2833,4375,353125,320,320
507,5750,2416,2834,4375,354458,320,320
508,5750,2458,2833,4167,354167,320,320
509,5709,2458,2875,4042,353291,320,320
510,5834,2458,2875,4292,357583,320,320
511,5791,2459,2833,4250,358958,320,320
512,5709,2458,2833,4334,354041,320,320
513,5750,2459,2833,4333,353667,320,320
514,5750,2458,2792,3958,364708,320,320
515,5708,2459,2833,4292,358333,320,320
516,5750,2417,2833,4083,351292,320,320
517,5708,2417,2833,4083,354917,320,320
518,5750,2458,2792,4375,355708,320,320
519,5667,2416,2875,4250,354000,320,320
520,5667,2458,2834,4250,354875,320,320
521,5709,2458,2833,4167,354708,320,320
522,5709,2458,2792,4083,353833,320,320
523,5708,2417,2875,4167,358750,320,320
524,5709,2416,2834,4291,356750,320,320
525,5709,2458,2833,4084,355416,320,320
526,5750,2417,2833,4375,357084,320,320
527,5750,2416,2834,4333,355750,320,320
528,5708,2459,2833,4125,355250,320,320
529,5708,2458,2834,4291,355500,320,320
530,5750,2459,2833,4375,360167,320,320
531,5792,2417,2833,4250,352958,320,320
532,5834,2458,2792,4333,354000,320,320
533,5708,2459,2791,4209,353208,320,320
534,5708,2458,2834,4333,355583,320,320
535,5750,2542,2833,4125,356625,320,320
536,5708,2458,2834,4208,356208,320,320
537,5750,2417,2833,4042,359042,320,320
538,5750,2459,2791,4250,357917,320,320
539,5750,2458,2792,4417,354333,320,320
540,5708,2458,2792,4250,356750,320,320
541,5750,2458,2833,4084,354208,320,320
542,5708,2458,2834,4250,354541,320,320
543,5708,2417,2917,4208,355042,320,320
544,5708,2458,2834,4291,356250,320,320
545,5750,2417,2875,4292,353375,320,320
546,5708,2500,2833,4209,356791,320,320
547,5750,2417,2833,4125,352417,320,320
548,5791,2459,2875,4291,356709,320,320
549,5791,2459,2833,4250,353500,320,320
550,5917,2458,2833,4292,357583,320,320
551,5708,2459,2875,4041,355625,320,320
552,5708,2417,2875,4333,353875,320,320
553,5750,2459,2833,4292,356500,320,320
554,5667,2458,2834,4041,355750,320,320
555,5750,2458,2834,4375,358791,320,320
556,5667,2458,2834,4291,355500,320,320
557,5750,2459,2833,4208,358542,320,320
558,5750,2458,2792,4333,353875,320,320
559,5834,2458,2792,4375,355333,320,320
560,5708,2417,2875,4292,355750,320,320
561,5708,2458,2834,4083,353167,320,320
562,5750,2459,2791,4209,352708,320,320
563,5791,2417,2833,4334,356791,320,320
564,5708,2417,2833,4334,353791,320,320
565,5834,2416,2834,4125,356583,320,320
566,5708,2459,2833,4167,353916,320,320
567,5667,2458,2792,4250,355666,320,320
568,5708,2459,2833,4125,357125,320,320
569,5792,2500,2833,4125,355542,320,320
570,5709,2458,2833,4334,354583,320,320
571,5792,2416,2834,4291,359000,320,320
